species;genus;family;order;class;phylum;kingdom
Abdiunguis fenderi;Abdiunguis;Staphylinidae;Coleoptera;Insecta;Arthropoda;Animalia
Ablerus punctatus;Ablerus;Aphelinidae;Hymenoptera;Insecta;Arthropoda;Animalia
Abrekites planus;Abrekites;Prionitidae;Ammonoidea;Cephalopoda;Mollusca;Animalia
Abronia carltonii;Abronia;Nyctaginaceae;Caryophyllales;Magnoliopsida;Tracheophyta;Plantae
Abutilon fugax;Abutilon;Malvaceae;Malvales;Magnoliopsida;Tracheophyta;Plantae
Acacia handonis;Acacia;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Acacia polifolia;Acacia;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Acaena longiscapa;Acaena;Rosaceae;Rosales;Magnoliopsida;Tracheophyta;Plantae
Acalypha decaryana;Acalypha;Euphorbiaceae;Malpighiales;Magnoliopsida;Tracheophyta;Plantae
Acalypha multifida;Acalypha;Euphorbiaceae;Malpighiales;Magnoliopsida;Tracheophyta;Plantae
Acantholimon demavendicum;Acantholimon;Plumbaginaceae;Caryophyllales;Magnoliopsida;Tracheophyta;Plantae
Acanthonitschkea argentinensis;Acanthonitschkea;Nitschkiaceae;Coronophorales;Sordariomycetes;Ascomycota;Fungi
Acanthospermum hispidum;Acanthospermum;Asteraceae;Asterales;Magnoliopsida;Tracheophyta;Plantae
Acanthuchus conspurcatus;Acanthuchus;Membracidae;Hemiptera;Insecta;Arthropoda;Animalia
Achelia adelpha;Achelia;Ammotheidae;Pantopoda;Pycnogonida;Arthropoda;Animalia
Achnanthidium delmontii;Achnanthidium;Achnanthidiaceae;Achnanthales;Bacillariophyceae;Ochrophyta;Chromista
Acinoeuphranta zeylanica;Acinoeuphranta;Tephritidae;Diptera;Insecta;Arthropoda;Animalia
Acnemia californiensis;Acnemia;Mycetophilidae;Diptera;Insecta;Arthropoda;Animalia
Acranthera parviflora;Acranthera;Rubiaceae;Gentianales;Magnoliopsida;Tracheophyta;Plantae
Acremonium minutisporum;Acremonium;Bionectriaceae;Hypocreales;Sordariomycetes;Ascomycota;Fungi
Acridoderes coerulans;Acridoderes;Acrididae;Orthoptera;Insecta;Arthropoda;Animalia
Acritus exiguus;Acritus;Histeridae;Coleoptera;Insecta;Arthropoda;Animalia
Acritus mexicanus;Acritus;Histeridae;Coleoptera;Insecta;Arthropoda;Animalia
Acrocercops orthostacta;Acrocercops;Gracillariidae;Lepidoptera;Insecta;Arthropoda;Animalia
Acrocerilia pachynervis;Acrocerilia;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia
Acrolyta semistrigosa;Acrolyta;Ichneumonidae;Hymenoptera;Insecta;Arthropoda;Animalia
Acropora torihalimeda;Acropora;Acroporidae;Scleractinia;Anthozoa;Cnidaria;Animalia
Acrospermum gaubae;Acrospermum;Acrospermaceae;Acrospermales;Dothideomycetes;Ascomycota;Fungi
Acrothyrea cincticollis;Acrothyrea;Cetoniidae;Coleoptera;Insecta;Arthropoda;Animalia
Adela electella;Adela;Adelidae;Lepidoptera;Insecta;Arthropoda;Animalia
Adelotopus marginicollis;Adelotopus;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia
Adenia mossambicensis;Adenia;Passifloraceae;Malpighiales;Magnoliopsida;Tracheophyta;Plantae
Adesmia graminidea;Adesmia;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Adiantum trifidum;Adiantum;Pteridaceae;Polypodiales;Polypodiopsida;Tracheophyta;Plantae
Admontia cepelaki;Admontia;Tachinidae;Diptera;Insecta;Arthropoda;Animalia
Adoxophyes balioleuca;Adoxophyes;Tortricidae;Lepidoptera;Insecta;Arthropoda;Animalia
Aecidium akebiae;Aecidium;Pucciniaceae;Pucciniales;Pucciniomycetes;Basidiomycota;Fungi
Aecidium boltoniae;Aecidium;Pucciniaceae;Pucciniales;Pucciniomycetes;Basidiomycota;Fungi
Aecidium chenopodii-fruticosi;Aecidium;Pucciniaceae;Pucciniales;Pucciniomycetes;Basidiomycota;Fungi
Aecidium psoraleae;Aecidium;Pucciniaceae;Pucciniales;Pucciniomycetes;Basidiomycota;Fungi
Aecidium thenardiae;Aecidium;Pucciniaceae;Pucciniales;Pucciniomycetes;Basidiomycota;Fungi
Aecidium ushuwaiense;Aecidium;Pucciniaceae;Pucciniales;Pucciniomycetes;Basidiomycota;Fungi
Aedes bolensis;Aedes;Culicidae;Diptera;Insecta;Arthropoda;Animalia
Aeschynanthus pachyanthus;Aeschynanthus;Gesneriaceae;Lamiales;Magnoliopsida;Tracheophyta;Plantae
