Species;Family;Order;Class;Phylum;Kingdom
Abelmoschus moschatus;Malvaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Abrus precatorius;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia concinna;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia confusa;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia farnesiana;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia longifolia;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia mangium;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia mearnsii;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia melanoxylon;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia nilotica;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia retinodes;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acacia saligna;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Acanthaster planci;Acanthasteridae;Spinulosida;Asteroidea;Echinodermata;Animalia
Acanthocereus tetragonus;Cactacea;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Acanthogobius flavimanus;Gobiidae;Perciformes;Actinopterygii;Chordata;Animalia
Acanthophora spicifera;Rhodomelaceae;Ceramiales;Florideophiceae;Rhodophyta;Plantae
Acanthus mollis;Acanthaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Acer ginnala;Aceraceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Acer platanoides;Aceraceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Achatina fulica;Achatinidae;Stylommatophora;Gastropoda;Mollusca;Animalia
Acnemia bifida;	Mycetophilidae;Diptera;Insecta;Arthropoda;Animalia
Acridotheres fuscus;Sturnidae;Passeriformes;Aves;Chordata;Animalia
Acridotheres tristis;Sturnidae;Passeriformes;Aves;Chordata;Animalia
Acromyrmex octospinosus;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Adelges piceae;Adelgidae;Homoptera;Insecta;Arthropoda;Animalia
Adelges tsugae;Adelgidae;Homoptera;Insecta;Arthropoda;Animalia
Adenanthera pavonina;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Aedes aegypti;Culicidae;Diptera;Insecta;Arthropoda;Animalia
Aedes albopictus;Culicidae;Diptera;Insecta;Arthropoda;Animalia
Aegilops triuncialis;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Agapanthus praecox;Liliaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Agave americana;Agavaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Agave sisalana;Agavaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Ageratina adenophora;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Ageratina riparia;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Ageratum conyzoides;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Agrilus planipennis;Buprestidae;Coleoptera;Insecta;Arthropoda;Animalia
Agrostis capillaris;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Agrostis gigantea;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Ailanthus altissima;Simaroubaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Akebia quinata;Lardizabalaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Albizia julibrissin;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Albizia lebbeck;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Alectoris chukar;Phasianidae;Galliformes;Aves;Chordata;Animalia
Aleurites moluccana;Euphorbiaceae;Euphorbiales;Magnoliopsida;Magnoliophyta;Plantae
Alexandrium minutum;Goniodomataceae;Gonyaulacales;Dinophyceae;Pyrrophycophyta;Plantae
Alitta succinea;Nereididae;Aciculata;Polychaeta;Annelida;Animalia
Alliaria petiolata;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Alnus glutinosa;Betulaceae;Fagales;Magnoliopsida;Magnoliophyta;Plantae
Alosa pseudoharengus;Clupeidae;Clupeiformes;Actinopterygii;Chordata;Animalia
Alpinia zerumbet;Zingiberaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Alternanthera philoxeroides;Amaranthaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Alternanthera sessilis;Amaranthaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Amazona aestiva;Psittacidae;Psittaciformes;Aves;Chordata;Animalia
Ambrosia artemisiifolia;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Ameiurus nebulosus;Ictaluridae;Siluriformes;Actinopterygii;Chordata;Animalia
Ammophila arenaria;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Ammotragus lervia;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Ampelopsis brevipedunculata;Vitaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Anas platyrhynchos;Anatidae;Anseriformes;Aves;Chordata;Animalia
Andropogon virginicus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Angiopteris evecta;Marattiaceae;Marattiales;Filicopsida;Pteridophyta;Plantae
Annona glabra;Annonaceae;Magnoliales;Magnoliopsida;Magnoliophyta;Plantae
Annona squamosa;Annonaceae;Magnoliales;Magnoliopsida;Magnoliophyta;Plantae
Anolis aeneus;Polychrotidae;Squamata;Reptilia;Chordata;Animalia
Anopheles quadrimaculatus;Culicidae;Diptera;Insecta;Arthropoda;Animalia
Anoplolepis gracilipes;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
